86th St,6.3432,22.0464,4/
York St,7.4088,4.1544,1/
High St,3.4992,3.6396,1/
Lafayette Ave,2.412,3.348,1/
President St,4.392,5.058,1/
Woodlawn,4.6512,3.942,1/
Bleecker St,1.9008,3.1572,2/
103rd St,8.9064,13.1688,1/
Euclid Ave,16.1496,9.2556,2/
88th St,7.452,6.4656,1/
Cortelyou Rd,10.1232,7.5852,1/
116th St,9.8928,10.512,1/
Parkchester,22.068,19.0044,4/
Franklin St,3.7872,2.196,1/
80th St,7.164,5.0292,1/
5th Ave - Bryant Pk,0.2376,0.4212,4/
Spring St,1.0368,2.5344,1/
125th St,10.8072,9.2052,1/
Coney Island - Stillwell Av,10.548,14.3784,2/
34th St - Hudson Yards,4.0536,4.9248,2/
72nd St,19.3392,27.9576,2/
86th St,18.9216,34.2036,2/
96th St,14.1048,16.4088,2/
